ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11343786,JB301517,06/10/2018 09:46:00 PM,055XX W QUINCY ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1522,015,29,25,08A,1139585,1898454,2018,06/17/2018 03:50:56 PM,41.877463972,-87.762949371,"(41.877463972, -87.762949371)",52,22216,26,68,7,32,25,97
11343857,JB301763,06/10/2018 09:45:00 PM,057XX W EDDY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1633,016,38,15,14,1137472,1923024,2018,06/17/2018 03:50:56 PM,41.944925228,-87.770115463,"(41.944925228, -87.770115463)",25,22254,15,342,44,52,12,27
11343762,JB301559,06/10/2018 09:45:00 PM,005XX E 71ST ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,0322,003,6,69,04B,1181290,1858070,2018,06/17/2018 03:50:56 PM,41.765784606,-87.611067227,"(41.765784606, -87.611067227)",31,21546,67,480,32,60,18,211
11345752,JB303770,06/10/2018 09:40:00 PM,013XX W 14TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PARK PROPERTY,false,false,1233,012,2,28,11,1167761,1893524,2018,06/17/2018 03:50:56 PM,41.863375231,-87.659636657,"(41.863375231, -87.659636657)",48,14920,29,96,26,43,15,150
11343705,JB301520,06/10/2018 09:40:00 PM,014XX S LAFLIN ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,false,false,1233,012,2,28,06,1166609,1893051,2018,06/17/2018 03:50:56 PM,41.862102007,-87.663879084,"(41.862102007, -87.663879084)",48,14920,29,96,23,43,15,150
11343672,JB301532,06/10/2018 09:38:00 PM,013XX N MENARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2531,025,29,25,08B,1137437,1908360,2018,06/17/2018 03:50:56 PM,41.904686205,-87.770597831,"(41.904686205, -87.770597831)",52,4299,26,565,7,5,6,154
11343645,JB301535,06/10/2018 09:37:00 PM,076XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0612,006,17,71,08B,1170306,1854199,2018,06/17/2018 03:50:56 PM,41.755408131,-87.651439611,"(41.755408131, -87.651439611)",17,21554,70,572,31,59,20,230
11343624,JB301503,06/10/2018 09:35:00 PM,032XX W BELMONT AVE,0460,BATTERY,SIMPLE,OTHER,false,false,1733,017,35,21,08B,1154239,1921098,2018,06/17/2018 03:50:56 PM,41.939321283,-87.708537802,"(41.939321283, -87.708537802)",15,21538,22,216,12,39,7,168
11343646,JB301501,06/10/2018 09:30:00 PM,017XX W ALBION AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,2432,024,40,1,03,1163697,1943895,2018,06/17/2018 03:50:56 PM,42.001682746,-87.67313138,"(42.001682746, -87.67313138)",46,21853,10,242,5,9,11,41
11343701,JB301504,06/10/2018 09:30:00 PM,014XX S LAFLIN ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,false,false,1233,012,2,28,06,1166609,1893051,2018,06/17/2018 03:50:56 PM,41.862102007,-87.663879084,"(41.862102007, -87.663879084)",48,14920,29,96,23,43,15,150
11343756,JB301514,06/10/2018 09:30:00 PM,0000X W 69TH ST,0460,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,false,false,0722,007,6,69,08B,1177169,1859273,2018,06/17/2018 03:50:56 PM,41.769179736,-87.626135711,"(41.769179736, -87.626135711)",31,22260,67,513,32,11,17,210
